"file";"diff_norm_mean";"diff_norm_sd";"diff_hurst";"diff_alpha";"diff_beta";"distance";"Performalist";"Voting";"Change Point"
"performance-4.2/linux-wt-repl/misc/Commands.DistinctWithoutIndexAndQuery/ops_per_sec4.csv";0.979305244709374;0.0292668036019964;0.308971164245711;0.300000479748979;0.98;2.91875555641844;0;0.865162795602976;"false_positive"
"performance-4.2/linux-wt-repl/misc/Commands.FindAndModifySortedDelete/ops_per_sec1.csv";0.79547279141586;0.0747448448611444;0;0.095358323437825;0;0.996536288173788;0;0.564119485114101;"false_positive"
"performance-4.2/linux-wt-repl/misc/Commands.FindAndModifySortedDelete/ops_per_sec1.csv";0.138756146021958;0.187484697369876;0.151362461138322;0.204744500552642;1;1.91142677436529;0;0.29570402533874;"false_positive"
"performance-4.2/linux-wt-repl/misc/Commands.FindAndModifySortedDelete/ops_per_sec2.csv";0.801650006276775;0.147480441949526;0;0.105227447213247;0;1.11544629467982;0;0.376334559659021;"false_positive"
"performance-4.2/linux-wt-repl/misc/Commands.FindAndModifySortedDelete/ops_per_sec4.csv";0.801758109899201;0.137481568250942;0;0.103524854414255;0;1.09971126271026;0;0.376334559659021;"false_positive"
"performance-4.2/linux-wt-standalone/agg-query-comparison/Aggregation.UnindexedLargeInUnsortedMatchingBigCollection/ops_per_sec4.csv";0.884631543270287;0.163155636177214;0.308971164245711;0.300000478048402;0.98;3.01342925615694;0;0.677377870147896;"false_positive"
"performance-4.2/linux-wt-standalone/misc/Commands.DistinctWithoutIndexAndQuery/ops_per_sec2.csv";0.979319599354697;0.0292465030678964;0.371277062994765;0.300000478051557;0.98;3.04337679155119;0;0.70429597466126;"false_positive"
"performance-4.2/linux-wt-standalone/misc/Commands.DistinctWithoutIndexAndQuery/ops_per_sec3.csv";0.995038197324736;0.00701704863717702;0.287684927993503;0.299997200032402;0.98;2.86043872258893;0;0.865162795602976;"false_positive"
"performance-4.2/linux-wt-standalone/misc/Commands.DistinctWithoutIndexAndQuery/ops_per_sec4.csv";0.988356745628293;0.0164660482426279;0.437421719194817;0.300000479607401;0.98;3.16665421919264;0;0.70429597466126;"false_positive"
"performance-4.2/linux-wt-standalone/views-query/Queries.IdentityView.UnindexedLargeInMatchingBigCollection/ops_per_sec4.csv";0.876801628432759;0.174228807932672;0.354074170069399;0.300000478047925;0.98;3.11148240701213;0;0.51651104920618;"false_positive"
"performance-4.2/linux-wt-standalone/wildcard-index-read/Queries.WildcardIndex.RangeQueryOnSingleArrayField.Baseline/ops_per_sec1.csv";0.889447455982281;0.0249112667415266;0;0.119866061963396;0;1.04454336922744;0;0.564119485114101;"false_positive"
"performance-4.2/linux-wt-standalone/wildcard-index-read/Queries.WildcardIndex.RangeQueryOnSingleArrayField.Baseline/ops_per_sec2.csv";0.835735460856109;0.0543429353495515;0;0.00306892081409893;0;0.915656897860708;0;0.564119485114101;"false_positive"
"performance-4.2/linux-wt-standalone/wildcard-index-read/Queries.WildcardIndex.RangeQueryOnSingleArrayField.Baseline/ops_per_sec3.csv";0.88634559584044;0.0355653520000236;0;0.047235618757389;0;0.983878217746835;0;0.564119485114101;"false_positive"
"performance-4.4/linux-wt-repl/misc/Commands.DistinctWithoutIndex/ops_per_sec4.csv";0.351019532137962;0.215224279387099;0.283722467082367;0.499891135010035;0.999899989890171;2.72273703673559;0;0.461910131430592;"false_positive"
"performance-4.4/linux-wt-repl/misc/Commands.DistinctWithoutIndex/ops_per_sec4.csv";0.408693368485256;0.274703916167025;0.399417434023636;0.0779842093637519;0.999899994839513;2.67405497799723;130.939514160156;0.151446490492962;"false_positive"
"performance-4.4/linux-wt-repl/misc/Commands.DistinctWithoutIndex/ops_per_sec4.csv";0.29604489973785;0.268500534868669;0.472643648663417;0.137447518192628;0.999899973668152;2.75857728455511;163.093414306641;0.151446490492962;"false_positive"
"performance-4.4/linux-wt-repl/misc/Commands.DistinctWithoutIndex/ops_per_sec5.csv";0.392553255666125;0.186462081185535;0.270073266437684;0.499282946104331;0.999899996637781;2.69568307354763;0;0.461910131430592;"false_positive"
"performance-4.4/linux-wt-repl/misc/Commands.DistinctWithoutIndex/ops_per_sec5.csv";0.386053488516568;0.247565685338721;0.401951953830022;0.057691499261292;0.999899993046644;2.59781313955664;514.251831054688;0.151446490492962;"false_positive"
"performance-4.4/linux-wt-repl/misc/Commands.DistinctWithoutIndex/ops_per_sec5.csv";0.255972497726756;0.247644294596609;0.471803724993802;0.117492334980355;0.999899986479492;2.66737436619284;642.049499511719;0.151446490492962;"false_positive"
"performance-4.4/linux-wt-repl/misc/Commands.DistinctWithoutIndex/ops_per_sec6.csv";0.42429498642612;0.159551832339797;0.260749510785777;0.499898459823666;0.999898028811347;2.67133043936652;0;0.461910131430592;"false_positive"
"performance-4.4/linux-wt-repl/misc/Commands.DistinctWithoutIndex/ops_per_sec6.csv";0.397876228900289;0.25818928283765;0.399564575886887;0.0716118191955261;0.999899973066962;2.63380454795792;516.692260742188;0.151446490492962;"false_positive"
"performance-4.4/linux-wt-repl/misc/Commands.DistinctWithoutIndex/ops_per_sec6.csv";0.27842830981978;0.268430217762925;0.474195101401752;0.132163557723447;0.999899985867557;2.73868080092305;641.743713378906;0.151446490492962;"false_positive"
"performance-4.4/linux-wt-repl/misc/Commands.DistinctWithoutIndex/ops_per_sec7.csv";0.346488620084281;0.200044799096777;0.270406095313363;0.499899546403545;0.999899106088334;2.67010879645477;0;0.461910131430592;"false_positive"
